종목코드,종목명,시장구분,종가,시가총액,발행주식총수,corp_code,연도
005930,삼성전자,KOSPI,55300.0,330128975015000.0,5969782550,00126380,2022
373220,LG에너지솔루션,KOSPI,435500.0,101907000000000.0,234000000,01515323,2022
207940,삼성바이오로직스,KOSPI,821000.0,58433854000000.0,71174000,00877059,2022
000660,SK하이닉스,KOSPI,75000.0,54600177375000.0,728002365,00164779,2022
051910,LG화학,KOSPI,600000.0,42355405800000.0,70592343,00356361,2022
006400,삼성SDI,KOSPI,591000.0,40639837230000.0,68764530,00126362,2022
005380,현대차,KOSPI,151000.0,32263896237000.0,213668187,00164742,2022
035420,NAVER,KOSPI,177500.0,29118712587500.0,164049085,00266961,2022
000270,기아,KOSPI,59300.0,24038046477100.0,405363347,00106641,2022
035720,카카오,KOSPI,53100.0,23651291549700.0,445410387,00258801,2022
005490,POSCO홀딩스,KOSPI,276500.0,23383945095000.0,84571230,00155319,2022
068270,셀트리온,KOSPI,160500.0,22599236205000.0,140805210,00413046,2022
028260,삼성물산,KOSPI,113500.0,21211683693500.0,186887081,00149655,2022
105560,KB금융,KOSPI,48500.0,19831507798000.0,408897068,00688996,2022
012330,현대모비스,KOSPI,200500.0,18904161347000.0,94285094,00164788,2022
055550,신한지주,KOSPI,35200.0,17909227388800.0,508784869,00382199,2022
096770,SK이노베이션,KOSPI,154000.0,14239696856000.0,92465564,00631518,2022
032830,삼성생명,KOSPI,71000.0,14200000000000.0,200000000,00126256,2022
066570,LG전자,KOSPI,86500.0,14155535911000.0,163647814,00401731,2022
034730,SK,KOSPI,189000.0,14014223181000.0,74149329,00181712,2022
015760,한국전력,KOSPI,21800.0,13994816878600.0,641964077,00159193,2022
003670,포스코케미칼,KOSPI,180000.0,13943379600000.0,77463220,00155276,2022
033780,KT&G,KOSPI,91500.0,12562263475500.0,137292497,00244455,2022
086790,하나금융지주,KOSPI,42050.0,12442741165800.0,295903476,00547583,2022
003550,LG,KOSPI,78100.0,12285207553300.0,157300993,00120021,2022
323410,카카오뱅크,KOSPI,24300.0,11584391669100.0,476723937,01133217,2022
051900,LG생활건강,KOSPI,722000.0,11276338234000.0,15618197,00356370,2022
010130,고려아연,KOSPI,564000.0,11202821112000.0,19863158,00102858,2022
017670,SK텔레콤,KOSPI,47400.0,10372691025600.0,218833144,00159023,2022
329180,현대중공업,KOSPI,116000.0,10297681456000.0,88773116,01390344,2022
036570,엔씨소프트,KOSPI,448000.0,9835401856000.0,21954022,00261443,2022
034020,두산에너빌리티,KOSPI,15400.0,9829943708200.0,638308033,00159616,2022
009150,삼성전기,KOSPI,130500.0,9747527328000.0,74693696,00126371,2022
011200,HMM,KOSPI,19550.0,9560722146800.0,489039496,00164645,2022
018260,삼성에스디에스,KOSPI,123000.0,9517469400000.0,77377800,00126186,2022
000810,삼성화재,KOSPI,200000.0,9474967400000.0,47374837,00139214,2022
010950,S-Oil,KOSPI,83400.0,9389404852800.0,112582792,00138279,2022
091990,셀트리온헬스케어,KOSDAQ GLOBAL,58000.0,9178054676000.0,158242322,00554024,2022
247540,에코프로비엠,KOSDAQ GLOBAL,92100.0,9007503782400.0,97801344,01160363,2022
030200,KT,KOSPI,33800.0,8825579110400.0,261111808,00190321,2022
003490,대한항공,KOSPI,22950.0,8450664169950.0,368220661,00113526,2022
316140,우리금융지주,KOSPI,11550.0,8409099340950.0,728060549,01350869,2022
259960,크래프톤,KOSPI,168000.0,8245699560000.0,49081545,00760971,2022
009830,한화솔루션,KOSPI,43000.0,8224975371000.0,191278497,00162461,2022
090430,아모레퍼시픽,KOSPI,137500.0,8042754362500.0,58492759,00583424,2022
024110,기업은행,KOSPI,9820.0,7830722033580.0,797425869,00149646,2022
377300,카카오페이,KOSPI,54200.0,7208753223400.0,133002827,01244601,2022
352820,하이브,KOSPI,173500.0,7174812644500.0,41353387,01204056,2022
066970,엘앤에프,KOSDAQ GLOBAL,173500.0,6249177826000.0,36018316,00398701,2022
086280,현대글로비스,KOSPI,163500.0,6131250000000.0,37500000,00360595,2022
011170,롯데케미칼,KOSPI,178500.0,6118162291500.0,34275419,00165413,2022
011070,LG이노텍,KOSPI,252500.0,5975944517500.0,23667107,00105961,2022
097950,CJ제일제당,KOSPI,380500.0,5728117773000.0,15054186,00635134,2022
326030,SK바이오팜,KOSPI,72100.0,5646385325000.0,78313250,00878696,2022
302440,SK바이오사이언스,KOSPI,73500.0,5643627381000.0,76784046,01319899,2022
383220,F&F,KOSPI,144500.0,5535372337500.0,38307075,01568413,2022
000060,메리츠화재,KOSPI,49700.0,5521872279000.0,111104070,00117744,2022
138040,메리츠금융지주,KOSPI,42700.0,5447316799400.0,127571822,00860332,2022
251270,넷마블,KOSPI,60400.0,5191591520800.0,85953502,00904672,2022
271560,오리온,KOSPI,128000.0,5060624896000.0,39536132,01238169,2022
009540,한국조선해양,KOSPI,70700.0,5003659301200.0,70773116,00164830,2022
035250,강원랜드,KOSPI,23200.0,4963419600000.0,213940500,00255619,2022
047810,한국항공우주,KOSPI,50900.0,4961482946300.0,97475107,00309503,2022
032640,LG유플러스,KOSPI,11050.0,4824555539050.0,436611361,00231363,2022
402340,SK스퀘어,KOSPI,33550.0,4746237007050.0,141467571,01596425,2022
005830,DB손해보험,KOSPI,65300.0,4623240000000.0,70800000,00159102,2022
267250,HD현대,KOSPI,57100.0,4510505153500.0,78993085,01205709,2022
010140,삼성중공업,KOSPI,5110.0,4496800000000.0,880000000,00126478,2022
088980,맥쿼리인프라,KOSPI,11050.0,4473543294350.0,404845547,00435297,2022
034220,LG디스플레이,KOSPI,12450.0,4454805465000.0,357815700,00105873,2022
028050,삼성엔지니어링,KOSPI,22250.0,4361000000000.0,196000000,00126308,2022
018880,한온시스템,KOSPI,8090.0,4318442000000.0,533800000,00161125,2022
000100,유한양행,KOSPI,57200.0,4188840427200.0,73231476,00145109,2022
021240,코웨이,KOSPI,55900.0,4125398702100.0,73799619,00170558,2022
004020,현대제철,KOSPI,30600.0,4083441021000.0,133445785,00145880,2022
078930,GS,KOSPI,43800.0,4069693556400.0,92915378,00500254,2022
000720,현대건설,KOSPI,34900.0,3886316198500.0,111355765,00164478,2022
161390,한국타이어앤테크놀로지,KOSPI,31150.0,3858708399350.0,123875069,00937324,2022
008560,메리츠증권,KOSPI,6240.0,3837853212960.0,615040579,00163682,2022
361610,SK아이이테크놀로지,KOSPI,53000.0,3778772376000.0,71297592,01386916,2022
006800,미래에셋증권,KOSPI,6080.0,3741123760640.0,615316408,00111722,2022
012450,한화에어로스페이스,KOSPI,73600.0,3726368000000.0,50630000,00126566,2022
011780,금호석유,KOSPI,126000.0,3693603312000.0,29314312,00106368,2022
293490,카카오게임즈,KOSDAQ GLOBAL,44650.0,3673874065100.0,82281614,01137383,2022
128940,한미약품,KOSPI,298000.0,3670755358000.0,12317971,00828497,2022
282330,BGF리테일,KOSPI,210500.0,3638262213000.0,17283906,01263022,2022
241560,두산밥캣,KOSPI,34600.0,3468621143600.0,100249166,01032486,2022
029780,삼성카드,KOSPI,29550.0,3423630229050.0,115858891,00126292,2022
010620,현대미포조선,KOSPI,84500.0,3375111590500.0,39942149,00164609,2022
011790,SKC,KOSPI,88500.0,3351344373000.0,37868298,00139889,2022
036460,한국가스공사,KOSPI,36200.0,3341730600000.0,92313000,00261285,2022
028300,HLB,KOSDAQ,28400.0,3307631247600.0,116465889,00199252,2022
008770,호텔신라,KOSPI,83100.0,3261518855100.0,39248121,00165680,2022
004990,롯데지주,KOSPI,30800.0,3231204499600.0,104909237,00120562,2022
137310,에스디바이오센서,KOSPI,30150.0,3139141207950.0,104117453,00854997,2022
064350,현대로템,KOSPI,28400.0,3099641121200.0,109142293,00302926,2022
028670,팬오션,KOSPI,5730.0,3063083303760.0,534569512,00122737,2022
071050,한국금융지주,KOSPI,53300.0,2970195373600.0,55725992,00432102,2022
007070,GS리테일,KOSPI,28150.0,2947809504300.0,104717922,00140177,2022
005940,NH투자증권,KOSPI,8770.0,2908710127170.0,331665921,00120182,2022
003410,쌍용C&E,KOSPI,5760.0,2902231267200.0,503859595,00138224,2022
112610,씨에스윈드,KOSPI,68800.0,2901392526400.0,42171403,00670340,2022
002790,아모레G,KOSPI,34900.0,2877790482000.0,82458180,00154462,2022
016360,삼성증권,KOSPI,31450.0,2808485000000.0,89300000,00104856,2022
047050,포스코인터내셔널,KOSPI,22600.0,2788278367400.0,123375149,00124504,2022
139480,이마트,KOSPI,98000.0,2731830262000.0,27875819,00872984,2022
263750,펄어비스,KOSDAQ GLOBAL,41950.0,2694694117250.0,64235855,01152470,2022
030000,제일기획,KOSPI,23050.0,2651700236250.0,115041225,00148276,2022
001450,현대해상,KOSPI,29450.0,2632830000000.0,89400000,00164973,2022
307950,현대오토에버,KOSPI,95500.0,2618990281000.0,27423982,00362441,2022
086520,에코프로,KOSDAQ,103000.0,2596628146000.0,25209982,00536541,2022
253450,스튜디오드래곤,KOSDAQ,86000.0,2585030828000.0,30058498,01168684,2022
